away,away_asts,away_rebs,away_scores,home,home_asts,home_rebs,home_scores,i_home,i_away
mia,28.0,32.0,87.0,nyk,28.0,50.0,111.0,9,2
cle,16.0,50.0,83.0,nyk,22.0,47.0,101.0,9,4
nyk,19.0,41.0,94.0,bos,29.0,46.0,115.0,3,9
nyk,28.0,58.0,121.0,det,22.0,54.0,115.0,10,9
tor,21.0,44.0,103.0,nyk,16.0,40.0,98.0,9,0
sac,16.0,38.0,86.0,nyk,26.0,46.0,124.0,9,7
nyk,16.0,45.0,82.0,ind,21.0,40.0,105.0,20,9
ind,13.0,41.0,86.0,nyk,16.0,45.0,92.0,9,20
nyk,21.0,45.0,78.0,den,21.0,48.0,106.0,13,9
nyk,17.0,38.0,82.0,uta,16.0,40.0,87.0,8,9
nyk,27.0,33.0,101.0,lal,18.0,51.0,94.0,6,9
nyk,25.0,51.0,94.0,gsw,34.0,42.0,125.0,15,9
nyk,22.0,35.0,89.0,pho,24.0,51.0,102.0,16,9
sas,22.0,50.0,104.0,nyk,17.0,49.0,100.0,9,28
min,22.0,49.0,92.0,nyk,12.0,43.0,95.0,9,29
nyk,16.0,37.0,81.0,phi,23.0,49.0,97.0,19,9
nyk,24.0,38.0,89.0,tor,22.0,44.0,106.0,0,9
mem,22.0,37.0,82.0,nyk,22.0,39.0,103.0,9,18
lac,14.0,34.0,80.0,nyk,31.0,39.0,111.0,9,12
bos,23.0,36.0,92.0,nyk,18.0,44.0,96.0,9,3
